TestInstance, alpha, Current Iteration, Final Objective
5, 0.0, 1, 702.0
5, 0.0, 2, 740.0
5, 0.0, 3, 723.0
5, 0.05, 1, 688.0
5, 0.05, 2, 670.0
5, 0.05, 3, 738.0
5, 0.1, 1, 945.0
5, 0.1, 2, 789.0
5, 0.1, 3, 719.0
8, 0.0, 1, 167.0
8, 0.0, 2, 148.0
8, 0.0, 3, 183.0
8, 0.05, 1, 160.0
8, 0.05, 2, 157.0
8, 0.05, 3, 153.0
8, 0.1, 1, 158.0
8, 0.1, 2, 158.0
8, 0.1, 3, 149.0
11, 0.0, 1, 25.0
11, 0.0, 2, 19.0
11, 0.0, 3, 35.0
11, 0.05, 1, 48.0
11, 0.05, 2, 27.0
11, 0.05, 3, 37.0
11, 0.1, 1, 30.0
11, 0.1, 2, 27.0
11, 0.1, 3, 41.0
